,NSW ('000),Vic. ('000),Qld ('000),WA ('000)
Jun-11,51.68,44.63,34.63,36.43
Sep-11,53.8,47.65,38.31,39.67
Dec-11,54.17,51.06,40.92,43.28
Mar-12,54.11,53.78,43.69,47.89
Jun-12,57.23,56.17,46.54,50.78
Sep-12,59.66,58.55,48.16,51.95
Dec-12,63.14,58.75,47.26,49.97
Mar-13,65.94,59.26,45.36,46.48
Jun-13,66.76,59.03,41.83,42.14
Sep-13,68.86,59.51,37.24,35.35
Dec-13,67.58,58.5,33.46,29.06
Mar-14,68.68,59.18,30.97,23.87
Jun-14,66.99,56.91,27.22,18.75
Sep-14,67.67,57.64,24.7,16.39
Dec-14,68.35,58.39,23.03,15.51
Mar-15,69.44,58.93,21.26,13.99
Jun-15,70.31,60.69,20.43,14.07
Sep-15,71.48,61.96,19.29,13.44
Dec-15,72.84,64.19,19.48,12.74
Mar-16,76,68.88,21.38,12.48
Jun-16,80.01,72.22,24.95,11.62
Sep-16,89.66,78.59,29.71,12.12
Dec-16,96.2,82.91,32.43,11.96
Mar-17,103.2,89.91,33.92,11.74
Jun-17,105.5,91.24,34.08,12.01
Sep-17,103.51,91.29,31.76,11.93
Dec-17,94.93,87.13,27.64,11.7
Mar-18,92.16,86.3,27.6,11.29
Jun-18,90.65,86.97,27.74,11.98
Sep-18,90.06,87.98,30.3,12.62
Dec-18,92.89,89.54,33.74,14.55
Mar-19,89.57,89.09,33.69,16.45
Jun-19,84.54,85.48,31.75,17.48
Sep-19,80.29,85.83,32.59,21.02
Dec-19,79.28,85.06,33.92,25.51
Mar-20,73.83,75.96,35.09,28.86
Jun-20,57.86,60.6,27.97,25.16
Sep-20,24.54,13.85,10.75,14.93
Dec-20,7.64,-21.02,-1.11,5.15
Mar-21,-13.93,-53.05,-15.57,-5.48
Jun-21,-5.47,-56.09,-14.36,-5.64
